Message,Label
"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",ham
May 500 MB ka na lang sa FREE 5G DATA mo.,ham
May promo pa rin? Sulitin mo na 'yan bago pa mag-expire! Expired na ang promo? Load your fave ALLNET 20 with just a tap sa Smart App o sa suking tindahan!,ham
"SCAM ALERT: If someone sends a link or asks for your OTP... STOP! It might be a scam! Scammers pretend to be from your telco, bank, or other trusted institutions to steal your info and initiate unauthorized transactions. Never share your OTP! Transact only via official apps and websites. Stay safe, Fam!",ham
"FREE DATA for you, KaTropa! Meron kang FREE 2.5 GB 5G DATA ACCESS dahil nagload ka ng TIKTOK SAYA 50 today! Load lang nang load at baka makakuha ka pa ng surprise freebies! Just go to https://smrt.ph/GetSmartApp o dial *123#",ham
Tuloy ang Saya! May UNLI TikTok + 3 GB + Unli Calls & Texts ka na with TIKTOK SAYA 50 for 3 days.,ham
"Load NOW and check out Free Promo Load, Unli TikTok, Bigger & Longer Data, No Expiry Offers and MORE at smrt.ph/SmartApp!",ham
"Iba talaga 'pag 'di ka bitin sa SAYA! Mag UNLI TikTok, FB & MLBB + 6 GB + Unli Calls & Texts for 7 days na w/ SAYA ALL 99. Buy NOW at Smart App!",ham
Your regular load is low on balance. Add Regular Load NOW to continue enjoying our promos and services.,ham
"2/2 Stay always connected! Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",ham
1/2 29-Mar 03:08: P50 loaded to 09129094503 from XXXXXXXX7428 for 1 year. Ref:CCT7I7KA57. Get MORE with PROMO LOAD in the Smart App!,ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
"FINAL REMINDER: The old Online Banking website will no longer be available on March 31, 2025. Log in to the new BDO Online website now to avoid any inconvenience. Go to the BDO website > Login > Personal > BDO Online Banking (New). If you use the BDO Online or BDO Pay apps, log in with your username and password. Otherwise, log in with your old Online Banking website username and password. If you are unable to log in, go to ""Need help logging in?"" to retrieve your username or reset your password.",ham
"Hi Mr/Ms <NAME>, RDCN 47972 can be claimed at any RDPawnshop, Penbank and TrueMoney branches. Please present valid ID. Thank you!",ham
"KaTropa! 'Wag palampasin ang iyong FREE VIU VOUCHER! Mag-load lang ng TNT SURFSAYA 49 para may all access data + UNLI calls & texts to all ka na for 7 days, may FREE 7-day Viu voucher ka pa! Simulan na ang pag-bingewatch this weekend! Load na sa Smart App! DTI216150",ham
Kaya mo nang i-checkout ang nasa cart mo! Treat yourself this weekend & pay later with GGives for affordable installments. I-GGives mo na!,ham
"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 220.00 to Shopee Philippines Inc. Your OTP is 150839. If you DID NOT make this request, please ignore this message.",ham
"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 220.00 to Shopee Philippines Inc. Your OTP is 106167. If you DID NOT make this request, please ignore this message.",ham
"REMINDER: The old Online Banking website will no longer be available on March 31, 2025. Log in to the new BDO Online website now to avoid any inconvenience. Go to the BDO website > Login > Personal > BDO Online Banking (New). If you use the BDO Online or BDO Pay apps, log in with your username and password. Otherwise, log in with your old Online Banking website username and password. If you are unable to log in, go to ""Need help logging in?"" to retrieve your username or reset your password.",ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
Walang laman ang e-wallet pang-load? TNT UTANG NA LOAD ka na muna! Get up to 1 GB or P50 load. Dial *5623# NOW!,ham
"UNSTPPBL SPEED for all your gadgets at home! Get GOMO FIBER and enjoy speeds of up to 100Mbps for a one-time installation fee of just P999. Apply now and get FREE UNLI FIBER for 30 days! To apply, just open the GOMO app, select the SHOP tab, and look for GOMO Fiber. Offer is valid until March 31, 2025 only. No advisories? Text OFF to 2686 for free.",ham
"Last chance to get up to P300 cashback when you pay using BDO Pay at ACE Hardware, Our Home, and other participating SM Retail stores via Scan to Pay. T&Cs apply. DTI213132. Scan to Pay limit for Credit Card is up to the available credit limit. For Bank Account, the daily limit is P50,000. Download BDO Pay now!",ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
Nag-expire na ang FREE 5G DATA mo.,ham
Tuloy ang Saya! Load SAYA ALL 99 sa smrt.ph/SmartApp para UNLI ang fave apps mo at may 6 GB ka pa! Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!,ham
Tuloy ang Saya! Load SAYA ALL 99 sa smrt.ph/SmartApp para UNLI ang fave apps mo at may 6 GB ka pa! Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!,ham
Tuloy ang Saya! Load SAYA ALL 99 sa smrt.ph/SmartApp para UNLI ang fave apps mo at may 6 GB ka pa! Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!,ham
Nag-expire na ang Open Access Data mo.,ham
Tuloy ang Saya! Load SAYA ALL 99 sa smrt.ph/SmartApp para UNLI ang fave apps mo at may 6 GB ka pa! Kulang sa budget? May TNT Utang Na Load! Dial *5623# now!,ham
Nag-expire na ang Unli Calls mo.,ham
Nag-expire na ang FREE UNLI TIKTOK ARAW-ARAW mo.,ham
Nag-expire na ang Unli Texts mo.,ham
"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",ham
May 60 minutes ka na lang para gamitin ang FREE 5G DATA mo.,ham
"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",ham
"Never run out of data. Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",ham
May 60 minutes ka na lang sa FREE UNLI TIKTOK ARAW-ARAW mo.,ham
May 60 minutes ka na lang sa Open Access Data mo.,ham
"Always stay connected. Manage your subscriptions and check out the Smart App for Bigger & Longer Offers, No Expiry offer and MORE! smrt.ph/SmartApp",ham
"Always stay connected. Manage your subscriptions and check out the Smart App for Bigger & Longer Offers, No Expiry offer and MORE! smrt.ph/SmartApp",ham
May 60 minutes ka na lang sa Unli Calls mo.,ham
May 60 minutes ka na lang sa Unli Texts mo.,ham
Forget the hassle of cashing in and transferring funds from your bank account to an e-wallet. Want simple? Try BDO Pay. Download now!,ham
"The old Online Banking website will no longer be available on March 31, 2025. Log in to the new BDO Online website now to avoid any inconvenience. If you use the BDO Online or BDO Pay apps, log in with your username and password. Otherwise, log in with your old Online Banking website username and password. If you are unable to log in, go to ""Need help logging in?"" to retrieve your username or reset your password.",ham
"FREE DATA for you, KaTropa! Meron kang FREE 2.5 GB 5G DATA ACCESS dahil nagload ka ng TIKTOK SAYA 50 today! Load lang nang load at baka makakuha ka pa ng surprise freebies! Just go to https://smrt.ph/GetSmartApp o dial *123#",ham
Mas pahabain pa ang UNLI TIKTOK SAYA! Get up to 30 DAYS of UNLI Tiktok + 20 GB + Unli Calls & Texts. Load na at smrt.ph/SmartApp,ham
Tuloy ang Saya! May UNLI TikTok + 3 GB + Unli Calls & Texts ka na with TIKTOK SAYA 50 for 3 days.,ham
"Load NOW and check out Free Promo Load, Unli TikTok, Bigger & Longer Data, No Expiry Offers and MORE at smrt.ph/SmartApp!",ham
Your regular load is low on balance. Add Regular Load NOW to continue enjoying our promos and services.,ham
"2/2 Stay always connected! Manage your subscriptions and check out the Smart App for Bigger & Longer Data, No Expiry offers and MORE! smrt.ph/SmartApp",ham
1/2 22-Mar 22:52: P50 loaded to 09129094503 from XXXXXXXX7428 for 1 year. Ref:CCM9HNF0BX. Get MORE with PROMO LOAD in the Smart App!,ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
#BDOStopScam: Make sure you're on the correct BDO Online website before logging in. Always type the official URL in your browser & DON'T CLICK LINKS!,ham
May budget ka pa rin kahit di pa payday! Maximize your GGives credit limit para tuloy-tuloy pa rin ang shopping this weekend! Tap Borrow > GGives on GCash now.,ham
Save your frequent billers & recipients as Favorites on the new BDO Online website for easier & faster transactions! Just click More > Manage Favorites. Log in now!,ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
"Nakapag-SAYA ALL 149 na ba ang lahat? 'Wag palalampasin ang chance to win a group date with Kathryn Bernardo at Joshua Garcia sa TNT Max Saya Bonding Raffle! To join: Text TNT25 to 5858 at abangan ang confirmation na kasali ka. For raffle entries: Load Saya All 149 from Feb 28-Mar 31. 1 promo = 1 raffle entry. Sa pag-text nito, sumasang-ayon ka sa T&Cs at Privacy Notice ng promo. For more info, visit https://www.tntph.com/Pages/Anibersaya2025",ham
"This is the final reminder to check your recent login using username and password to access BDO Online Banking or BDO Pay. Your account verification is almost complete. If this was not you, reset your password immediately.",ham
"Did you request to do BANK TRANSFER to BDO Unibank, Inc. account no. ending in 6177 with amount of PHP 1900.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 591199.",ham
"Did you request to do BANK TRANSFER to BDO Unibank, Inc. account no. ending in 6177 with amount of PHP 100.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 456332.",ham
"DO NOT SHARE YOUR OTP. You're making a digital transaction. Your One-Time PIN is 111349. If you did not make this request, change your password immediately and call BDO at (02) 8888-0000 for Local Numbers or (Intl. Access Code) 800-8-2255236 for International Numbers.",ham
"We noticed a recent login using your Online Banking username and password in the BDO Online app on 03-19-2025 at 10:56 PM PHT. For your security, your account is currently being verified. Your access will temporarily be limited until verification has been completed. If this was not you, reset your password and call us immediately at (02) 8888-0000.",ham
"Your One-Time PIN is 396649. DO NOT SHARE THIS WITH ANYONE. If you did not request for an OTP, pls call BDO at (02)8888-0000.",ham
"Last 2 weeks to enjoy cashback as you treat yourself to some beauty and fashion at SM, Watsons, Kultura, and other participating SM Retail stores. Get P100 every P2K spend, redeemable up to 3 times! T&Cs apply. DTI213132. Scan to Pay limit for Credit Card is up to the available credit limit. For Bank Account, the daily limit is P50,000. Download BDO Pay now!",ham
"ADVISORY: The old Online Banking website will no longer be available on March 31, 2025. Log in to the new BDO Online website now to avoid any inconvenience. If you use the BDO Online or BDO Pay apps, log in with your username and password. Otherwise, log in with your old Online Banking website username and password. If you are unable to log in, go to ""Need help logging in?"" to retrieve your username or reset your password.",ham
"Nakapag-SAYA ALL 149 na ba ang lahat? 'Wag palalampasin ang chance to win a group date with Kathryn Bernardo at Joshua Garcia sa TNT Max Saya Bonding Raffle! To join: Text TNT25 to 5858 at abangan ang confirmation na kasali ka. For raffle entries: Load Saya All 149 from Feb 28-Mar 31. 1 promo = 1 raffle entry. Sa pag-text nito, sumasang-ayon ka sa T&Cs at Privacy Notice ng promo. For more info, visit https://www.tntph.com/Pages/Anibersaya2025",ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
Send Money seamlessly from your BDO account to another BDO account for FREE. Enjoy a minimal InstaPay fee of P10 for transfers to other banks and wallets. Download BDO Pay now!,ham
Logging in on the new BDO Online website is now more secure with push authentication through the BDO Online app. No need to wait for an OTP via SMS! Just make sure that push notifications are enabled on your device settings.,ham
Trouble in paradise? I-stream na ang The White Lotus at iba pang fave shows mo sa Max for as low as P149/month lang! I-download na ang Max app at pumunta sa https://smart.com.ph/shopmax para maka-subscribe gamit ang TNT load mo.,ham
"Hi Mr/Ms <NAME>, RDCN 27458 can be claimed at any RDPawnshop, Penbank and TrueMoney branches. Please present valid ID. Thank you!",ham
Sagot ni GGives ang bigating shopping mo this weekend! Checkout with GGives para sa abot-kayang hulugan na up to 24 mos. Tap Borrow > GGives sa GCash app to view your available credit limit.,ham
"Uy, weekend na! Mag-binge watch gamit ang iyong FREE VIU VOUCHER! Mag-load lang ng TNT ALL DATA 99 with 2 GB data. May kasama rin itong FREE 7-day Viu Voucher, perfect pang-stream ng fave KDrama series mo! Load na sa Smart App https://smrt.ph/GetSmartApp DTI216150",ham
"Happy payday, GOMO Fam! Wanna get more out of Shopee's Payday Sale? Convert your 3.5GB to a P50 Shopee voucher! Just open your GOMO PH app and go to the 'Mo Creds tab to start swappin'. No advisories? Text OFF to 2686 for free.",ham
"Fast, UNSTPPBL internet with GOMO Fiber! Apply and get FREE 30 Days UNLI FIBER with speeds up to 50Mbps for only P999. Hurry, this offer ends on March 31, 2025. So don't miss out! No advisories? Text OFF to 2686 for free.",ham
"#BDOStopScam: Mag-ingat sa text na may link, kahit galing sa ""BDO."" Gumagamit ng fake cell sites ang scammers to send these scam texts. Don't click links!",ham
"Kaya today ang bagong furnitures dahil walang downpayment ang installments ng GGives! On GCash, go to Borrow > GGives to view your credit limit.",ham
Add your Joint OR accounts on the new BDO Online website! Click Manage Accounts > Add Own Account. Log in now! Just use your existing username and password.,ham
Hi Ka-LBC! We will deliver your shipment 127400351158 today. Provide authorization & ID if not around. Photo may be taken as proof of delivery. Thanks,ham
"Nakapag-SAYA ALL 149 na ba ang lahat? 'Wag palalampasin ang chance to win a group date with Kathryn Bernardo at Joshua Garcia sa TNT Max Saya Bonding Raffle! To join: Text TNT25 to 5858 at abangan ang confirmation na kasali ka. For raffle entries: Load Saya All 149 from Feb 28-Mar 31. 1 promo = 1 raffle entry. Sa pag-text nito, sumasang-ayon ka sa T&Cs at Privacy Notice ng promo. For more info, visit https://www.tntph.com/Pages/Anibersaya2025",ham
"Manage accounts and transactions your way with BDO Online! Add, remove, or group accounts, update your profile, save and manage Favorites, schedule transactions and more! Log in now!",ham
"Shop at SM Store, Our Home, Toy Kingdom, and other participating SM Retail stores. Get P100 cashback for every P2K spend w/ BDO Pay. T&Cs apply. DTI213132. Scan to Pay limit for Credit Card is up to the available credit limit. For Bank Account, the daily limit is P50,000. Download BDO Pay now!",ham
"Nakapag-SAYA ALL 149 na ba ang lahat? 'Wag palalampasin ang chance to win a group date with Kathryn Bernardo at Joshua Garcia sa TNT Max Saya Bonding Raffle! To join: Text TNT25 to 5858 at abangan ang confirmation na kasali ka. For raffle entries: Load Saya All 149 from Feb 28-Mar 31. 1 promo = 1 raffle entry. Sa pag-text nito, sumasang-ayon ka sa T&Cs at Privacy Notice ng promo. For more info, visit https://www.tntph.com/Pages/Anibersaya2025",ham
"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 156.00 to Shopee Philippines Inc. Your OTP is 611434. If you DID NOT make this request, please ignore this message.",ham
"Did you request to SEND MONEY to NH**L AL***N P.'s GCash number, 09564853683 with amount of PHP 25.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 559238.",ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
Upgrade your gadget with GGives & pay in easy monthly installments! Tap Borrow > GGives in the GCash app to check your available credit limit now.,ham
Paubos na ang data! 'Pano ang win-streak? Palista muna ng EASYSURF50! Kaya today with Borrow Load.,ham
Isang linggo pa bago sweldo? Mag TNT UTANG NA LOAD ka muna para may pang up to 4hrs ng FB! Dial *5623# NOW!,ham
"Your package PH255228007557M is out for delivery. Your rider is 09568136334. To report no attempt, please contact us at (02) 8539-4002.",ham
"Nakapag-SAYA ALL 149 na ba ang lahat? 'Wag palalampasin ang chance to win a group date with Kathryn Bernardo at Joshua Garcia sa TNT Max Saya Bonding Raffle! To join: Text TNT25 to 5858 at abangan ang confirmation na kasali ka. For raffle entries: Load Saya All 149 from Feb 28-Mar 31. 1 promo = 1 raffle entry. Sa pag-text nito, sumasang-ayon ka sa T&Cs at Privacy Notice ng promo. For more info, visit https://www.tntph.com/Pages/Anibersaya2025",ham
"View statements, reorder checkbooks, avail installment plans, request loan documents and more. Log in to BDO Online now and bank your way!",ham
"Get a chance to win a group date with Kathryn Bernardo at Joshua Garcia sa TNT Max Saya Bonding Raffle! To join: Text TNT25 to 5858 at abangan ang confirmation na kasali ka. For raffle entries: Load Saya All 149 from Feb 28-Mar 31. 1 promo = 1 raffle entry Sa pag-text nito, sumasang-ayon ka sa T&Cs at Privacy Notice ng promo. For more info, visit https://www.tntph.com/Pages/Anibersaya2025",ham
Easily schedule transactions on the new BDO Online website! Just select Later or Recurring when entering your transaction details. Remember to delete scheduled transactions set in the old Online Banking website to avoid any duplicate debits.,ham
"655096 is your GRAB verification code. It expires in 2 minutes. Do not share it with anyone, including GRAB.",ham
"331973 - Grab OTP for Udemy - PH PHP509. Valid for 2 mins. Do not share it with anyone. If unauthorised, report via in-app chat.",ham
"Did you request to do BANK TRANSFER to GrabPay account no. ending in 4503 with amount of PHP 510.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 019302.",ham
"640500 - Grab OTP for Udemy - PH PHP509. Valid for 2 mins. Do not share it with anyone. If unauthorised, report via in-app chat.",ham
"<#> 372886 is your GRAB verification code. It expires in 2 minutes. Do not share it with anyone, including GRAB. H9CMNjtZ1r6",ham
BDO Online app and website now lets you group your accounts together to easily view and manage them. Log in now!,ham
"Ka-LBC! Your shipment 142032398832 was received by <NAME> on 03-03-2025. Share your experience, click bit.ly/CSATPh. Thanks",ham
"Congrats, your GGives credit limit has increased to P25k! Book with GGives & pay in easy installments. Go to Borrow > GGives to view your new credit limit, valid until March 17.",ham
Di pa tapos pumili sa online shops? Mag-Borrow Load 'pag nabitin ang data! 'Di ka na lalayo para walang abala sa online shopping!,ham
"Lace up, GOMO Fam! Set new PRs and register for the Sante Barley Trilogy Run Asia presented by Hoka and GOMO this March. Get P500 OFF your race kit when you swap 10GB of No Expiry Data via 'Mo Creds. Go to the GOMO App and swap now! No advisories? Text OFF to 2686 for free.",ham
"#BDOStopScam: Ingat sa fake rewards o points redemption scams! 'Pag hiningi ang iyong OTP, username, o password, scam 'yan! Never share your personal info.",ham
"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 626.00 to Shopee Philippines Inc. Your OTP is 486453. If you DID NOT make this request, please ignore this message.",ham
You have received P891.00 GCash from Philippine Seven Corporation w/ MSG - PSC Cashin. Your new balance is P958.69 03-01-25 12:16AM. Ref no. 0026220022329.,ham
"NEVER SHARE YOUR OTP OR USE IT IN ANY LINK. You are about to pay PHP 265.56 to Seamoney Credit. Your OTP is 935762. If you DID NOT make this request, please ignore this message.",ham
Logging in on the new BDO Online website is now more secure with push authentication through the BDO Online app. No need to wait for an OTP via SMS! Just make sure that push notifications are enabled on your device settings.,ham
"Hi Christopher, see you 6PM at The Bloom for ""Build Apps Without Code: A Beginner’s Workshop on Adalo"". Please check your email for the Adalo Quick Start Guide, and don't forget to join our exclusive Discord channel. Got questions? Text Crystal at 09177010616.",ham
"Christopher, Build Apps Without Code: A Beginner’s Workshop on Adalo is happening tomorrow, 6PM at The Bloom. Check your email for your complimentary ticket!",ham
Get the most of your device with Google One! May additional 100 GB for as low as P89/month. Mag-subscribe na gamit ang TNT load! More info: https://smart.com.ph/googleone,ham
G-625112 is your Google verification code. Don't share your code with anyone.,ham
May TNT UTANG NA LOAD na laging masasandalan! Avail up to 1 GB or P50 regular load! Dial *5623# NOW!,ham
"Did you request to SEND MONEY to SE*H AM**L C.'s GCash number, 09947128810 with amount of PHP 5.00? If not, DON'T ENTER YOUR OTP ON ANY SITE OR SEND IT TO ANYONE because IT'S A SCAM! If you requested, your OTP is 296825.",ham
The new BDO Online website is here! Visit the BDO website > Login > Personal > BDO Online Banking (New) and log in with your existing username and password to experience a fresh new interface.,ham
"NEVER SHARE YOUR OTP especially on social media and SMS or email links. GCash will only need your MPIN or OTP when using the GCash App. Your OTP to link your device is 795733. If this was not you, please ignore. yyAfcYn/qSW.",ham
"Lamang ka sa susunod mong load up, DALI! Subscribe to DOBLE GIGA STORIES or any promo at least P20 to get EXTRA 2 GB for 3 days FREE! Load na sa https://smrt.ph/GetSmartApp o i-dial ang *123# NOW NA!",ham
Your number has been unlinked in the Smart app by 09XX XXX 7951.,ham
Your number has been unlinked in the Smart app by 09XX XXX 7951.,ham
"Di ka na mahuhuli sa mga trending! With Borrow Load, 'di ka na lalayo 'pag paubos na ang data! Magpalista na sa Borrow Load!",ham
Never run out of data. Always check your load balance and subscriptions with just a tap on smrt.ph/CheckUsage,ham
You're trying to access sites not included in your promo OR haven't subscribed to one yet.,ham
Keep your devices safe with Smart Phone Protect! Punta na sa https://smart.iglooinsure.com/ at mag-subscribe na gamit ang TNT load!,ham
"Ituloy ang saya to stay online with FREE data! May FREE 500 MB for 4 days para sa'yo! Paano? Magsend lang ng 'YAY' to 5858 now! Available lang ito for today, so sulitin mo na KaTropa bago pa mawala!",ham
"Need more data para makapag-check out ng cart? Borrow NEW POWER ALL 99! Ang palista na walang abala, Kaya Today with Borrow Load!",ham
"Someone sent you a P500 Valentine's day gift card! Click the link now before it expires. STOP! Maya will NEVER send links. Scammers lang gumagawa nun. Using a text hijacking device, nagpapanggap sila na Maya at ibang brands para magtext ng link at manakaw ang pera mo. Never share OTPs, passwords, or open links.",ham
"Hi Mr/Ms <NAME>, RDCN 34532 can be claimed at any RDPawnshop, Penbank and TrueMoney branches. Please present valid ID. Thank you!",ham
